productID,style,reviewerID,reviewerName,reviewText,summary,rating
B00009W3PA,{'Size:': ' 6-Foot'},A1AHW6I678O6F2,kevin.,good item,Five Stars,5
B0015UGPWQ,{'Size Name:': ' 4 Inch'},A1AHW6I678O6F2,kevin.,very nice product,Five Stars,5
B001769IVI,,A1AHW6I678O6F2,kevin.,a must for washers,Five Stars,5
B00009W3PA,{'Size:': ' 6-Foot'},A8R48NKTGCJDQ,CDBrannom,Fit my new LG dryer perfectly.,Five Stars,5
B0015UGPWQ,{'Size Name:': ' 4 Inch'},A8R48NKTGCJDQ,CDBrannom,Fits perfectly,Five Stars,5
B001769IVI,,A8R48NKTGCJDQ,CDBrannom,A hose was included with our machine so we didn't need this. Otherwise it would have been fine.,Otherwise it would have been fine.,3
B00009W3PA,{'Size:': ' 6-Foot'},AR3OHHHW01A8E,Calvin E Reames,Good value for electric dryers,Perfect size,5
B000NCTOUM,,AR3OHHHW01A8E,Calvin E Reames,Did the job for fixing our Maytag dryer,Works on a Maytag also,5
B0015UGPWQ,{'Size Name:': ' 4 Inch'},AR3OHHHW01A8E,Calvin E Reames,Easy install on dryer,Don't forget when to install the securing devices,5
B0056I99WG,,AR3OHHHW01A8E,Calvin E Reames,Perfect fit for Maytag dryer,Part was a perfect fit,5
B00009W3PA,{'Size:': ' 6-Foot'},A2CIEGHZ7L1WWR,albert j. kong,Price and delivery was excellent.,Five Stars,5
B004XLDHSE,,A2CIEGHZ7L1WWR,albert j. kong,Price and delivery was excellent.,Five Stars,5
B0053F80JA,,A2CIEGHZ7L1WWR,albert j. kong,Price and delivery was excellent.,Five Stars,5
B00CW0O1EW,,A2CIEGHZ7L1WWR,albert j. kong,Price is good and it makes sense to have a few spare fuses on hand. Delivery was excellent.,Five Stars,5
B00DM8J11Q,,A2CIEGHZ7L1WWR,albert j. kong,Very good price & delivery,Five Stars,5
B00P9C66PM,,A2CIEGHZ7L1WWR,albert j. kong,Price and delivery was excellent.,Five Stars,5
B00009W3PA,{'Size:': ' 6-Foot'},A1RQQV9HYHDHDN,Adam Baer,I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,Easy install,5
B00126NABC,,A1RQQV9HYHDHDN,Adam Baer,"Worked as expected, quality GE product. Water tastes good. Would recommend and will buy again.",Easy install,5
B0015UGPWQ,{'Size Name:': ' 4 Inch'},A1RQQV9HYHDHDN,Adam Baer,"Moved into new apt, needed dryer vent hose, this fit the bill. The compression clamps made install a snap.",Quick and easy install,5
B0006GVNOA,,A8WEXFRWX1ZHH,Goldengate,"I bought this last October and finally got around to cleaning our 15-foot dryer duct run. It's just not the type of thing that's at the top of your list... like ""Wow, should I go see a movie, or clean our dryer duct?"" However, our dryer was drying slower and slower, and I knew it was a task that I needed to tackle, so I read the very long instruction book for this and began my work. The instructions really need to be re-written and simplified. My Sony TV has a smaller instruction manual. But I do appreciate the manufacturer's thoroughness. For those of you with short attention spans here's my quick start guide:

1. Screw the rods together and use electrical or duct tape to reinforce the joints to keep them from unscrewing during your work.
2. Stick one end of rod in your drill and set the clutch pretty close to the lowest or second lowest setting, then increase power if you need it.
3. Attached brush to other end of rod with supplied key wrench / allen wrench and tighten.
4. Make sure your drill is on clockwise - not reverse - mode or else the rods will unscrew inside your duct and you're screwed.
5. Read #4 again.
6. Turn dryer on air mode and then insert the brush in the pipe outside and begin spinning it by activating the drill. Push it in about a foot, then pull it out and watch the lint fly. Then push it in 2 feet and pull it out and watch the lint fly. Then 3 feet... etc.
7. Marvel at how much lint came out.
8. Marvel at how fast your dryer is and come write a review here.
9. Wash the clothes you were wearing when you did this because they are now covered in lint.

Hope this helps. It's a quick job and well worth it the trouble!",A great device that has my dryer working well again. Simple instructions here.,5
B0014CN8Y8,,A8WEXFRWX1ZHH,Goldengate,"I bought this last October and finally got around to cleaning our 15-foot dryer duct run. It's just not the type of thing that's at the top of your list... like ""Wow, should I go see a movie, or clean our dryer duct?"" However, our dryer was drying slower and slower, and I knew it was a task that I needed to tackle, so I read the very long instruction book for this and began my work. The instructions really need to be re-written and simplified. My Sony TV has a smaller instruction manual. But I do appreciate the manufacturer's thoroughness. For those of you with short attention spans here's my quick start guide:

1. Screw the rods together and use electrical or duct tape to reinforce the joints to keep them from unscrewing during your work.
2. Stick one end of rod in your drill and set the clutch pretty close to the lowest or second lowest setting, then increase power if you need it.
3. Attached brush to other end of rod with supplied key wrench / allen wrench and tighten.
4. Make sure your drill is on clockwise - not reverse - mode or else the rods will unscrew inside your duct and you're screwed.
5. Read #4 again.
6. Turn dryer on air mode and then insert the brush in the pipe outside and begin spinning it by activating the drill. Push it in about a foot, then pull it out and watch the lint fly. Then push it in 2 feet and pull it out and watch the lint fly. Then 3 feet... etc.
7. Marvel at how much lint came out.
8. Marvel at how fast your dryer is and come write a review here.
9. Wash the clothes you were wearing when you did this because they are now covered in lint.

Hope this helps. It's a quick job and well worth it the trouble!",A great device that has my dryer working well again. Simple instructions here.,5
